Profession,YoE,Gender,Age,,1,2,3,4,5,,,,,
Prof. developer,35,Female,57,1,,,,,,,,,,
Hobbyist,35,Male,59,2,,,,,,,,,,
Other,50,Male,72,3,,,,,,,,,,
Grad. student,18,Female,18,4,,,,,,,,,,
Prof. developer,35,Male,42,5,,,,,,,,,,
Prof. developer,35,Male,55,6,,,,,,,,,,
Prof. developer,35,Male,42,7,,,,,,,,,,
Prof. developer,35,Male,42,8,,,,,,,,,,
Prof. developer,35,Male,43,9,,,,,,,,,,
Other,35,Female,67,,,,,,,,,,,
Hobbyist,35,Male,59,,,,,,,,,,,
Hobbyist,35,Male,59,,,,,,,,,,,
Prof. developer,33,Male,57,,,,,,,,,,,
Hobbyist,33,Male,43,,,,,,,,,,,
Hobbyist,33,Male,47,,,,,,,,,,,
Prof. developer,32,Male,32,,,,,,,,,,,
Prof. developer,32,Male,48,,,,,,,,,,,
Prof. developer,32,Male,50,,,,,,,,,,,
Hobbyist,32,Male,32,,,,,,,,,,,
Prof. developer,30,Male,43,,,,,,,,,,,
Prof. developer,30,Male,43,,,,,,,,,,,
Other,30,Male,50,,,,,,,,,,,
Other,30,Male,52,,,,,,,,,,,
Other,30,Female,62,,,,,,,,,,,
Other,30,Female,62,,,,,,,,,,,
Other,30,Male,61,,,,,,,,,,,
Other,30,Male,61,,,,,,,,,,,
Other,30,Male,49,,,,,,,,,,,
Hobbyist,30,Male,44,,,,,,,,,,,
Hobbyist,30,Male,60,,     YoE                        Gender          Age        ,,,,,,,,,What if I get the most experienced by profession?
Hobbyist,30,Male,48,, Min.   : 0.000   Female            : 778   Min.   : 16.00  ,,,,,,,,,
Hobbyist,30,Male,45,, 1st Qu.: 1.000   Male              :1406   1st Qu.: 24.00  ,,,,,,,,,
Hobbyist,30,Male,45,, Median : 3.000   Other             :  10   Median : 28.00  ,,,,,,,,,
Hobbyist,30,Male,48,, Mean   : 4.833   Prefer not to tell:  11   Mean   : 30.26  ,,,,,,,,,
Hobbyist,30,Male,45,, 3rd Qu.: 5.000                             3rd Qu.: 34.00  ,,,,,,,,,
Hobbyist,30,Male,45,, Max.   :50.000                             Max.   :100.00  ,,,,,,,,,
Hobbyist,30,Male,45,,,,,,,,,,,
Prof. developer,28,Male,52,,,,,,,,,,,
Other,26,Female,47,,,,,,,,,,,
Prof. developer,25,Male,42,,,,,,,,,,,
Prof. developer,25,Female,33,,,,,,,,,,,
Prof. developer,25,Male,42,,,,,,,,,,,
Prof. developer,25,Male,53,,,,,,,,,,,
Prof. developer,25,Male,48,,,,,,,,,,,
Prof. developer,25,Male,53,,,,,,,,,,,
Prof. developer,25,Male,53,,,,,,,,,,,
Prof. developer,25,Male,44,,,,,,,,,,,
Prof. developer,25,Male,53,,,,,,,,,,,
Prof. developer,25,Male,48,,,,,,,,,,,
Prof. developer,25,Male,25,,,,,,,,,,,
Prof. developer,25,Male,42,,,,,,,,,,,
Prof. developer,25,Male,47,,,,,,,,,,,
Hobbyist,25,Male,37,,,,,,,,,,,
Hobbyist,25,Male,38,,,,,,,,,,,
Hobbyist,25,Male,46,,,,,,,,,,,
Hobbyist,24,Male,33,,,,,,,,,,,
Prof. developer,23,Male,44,,,,,,,,,,,
Prof. developer,23,Male,44,,,,,,,,,,,
Prof. developer,23,Male,44,,,,,,,,,,,
Prof. developer,23,Male,44,,,,,,,,,,,
Prof. developer,23,Male,44,,,,,,,,,,,
Prof. developer,23,Male,44,,,,,,,,,,,
Prof. developer,23,Male,44,,,,,,,,,,,
Prof. developer,22,Female,45,,,,,,,,,,,
Prof. developer,22,Male,37,,,,,,,,,,,
Prof. developer,22,Male,38,,,,,,,,,,,
Undergrad. student,21,Female,21,,,,,,,,,,,
Prof. developer,21,Male,40,,,,,,,,,,,
Undergrad. student,20,Male,34,,,,,,,,,,,
Undergrad. student,20,Female,29,,,,,,,,,,,
Undergrad. student,20,Female,48,,,,,,,,,,,
Prof. developer,20,Male,45,,,,,,,,,,,
Prof. developer,20,Male,44,,,,,,,,,,,
Prof. developer,20,Male,43,,,,,,,,,,,
Prof. developer,20,Male,32,,,,,,,,,,,
