workerID,fileName,score,profession,gender,yearsOfProgramming,country,programmingLanguage,IDKLevel,TP,TN,FP,FN,Precision,Recall,Accuracy,Total,Column1,log,Correct Answers,Bug covering
680ce-8i-5C06-6:70Ec7A4e-7-84,J6.51,4,Graduate_Student,Male,6,INDIA,JAVA,1.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
396ie3E5A9-5-3,J3.6,3,Professional_Developer,Male,20,US,"PHP, Perl",0.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
844Cg1g5e1-17:255ei-8G8E85-8,J3.6,3,Undergraduate_Student,Male,5,US,JAVA,1.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
1197gc5c3c27-5,J6.51,4,Other,Male,1,US,JAVA,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
133Ac-8e0G-703:189Ii1E-1G-123,J5.35,5,Hobbyist,Male,33,US,C++,0.00,1.00,0.00,2.00,0.00,0.33,1.00,0.33,3.00,0.67,0.22,1.00,1.00
1341Ci-4e-9a-707,J4.7,5,Graduate_Student,Male,2,US,JAVA,2.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,1.00,0.30,0.00,1.00
755ec4i1a-48-7,J4.7,4,Professional_Developer,Male,3,INDIA,JAVA,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
81Eg-4I3c241,J4.7,4,Undergraduate_Student,Male,1,US,C++,3.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
307Cg-5C7a4-4-3:881AI5C9I3-85,J4.7,4,Professional_Developer,Male,4,US,JAVA,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
276ee1A-3E7-54,J7.33,5,Hobbyist,Male,3,INDIA,PHP,1.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
286Ig-9C0E170,J1.8,5,Undergraduate_Student,Male,5,US,c#,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
273EI-8I-8g2-1-7,J8.54,4,Undergraduate_Student,Male,1,US,JAVA,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
973gC1A-4g040,J6.51,5,Undergraduate_Student,Male,2,US,JAVA,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
1080iE3G5I-102,J8.54,5,Hobbyist,Female,1,INDIA,python,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
638ic-5a-8a06-2,J3.6,3,Hobbyist,Male,3,US,VBA,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
166IC5e-3e-7-6-5,J8.54,5,Undergraduate_Student,Female,1,US,JAVA,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
642ci9c-9e-580:266ee6e-1I61-3,J3.6,4,Other,Male,6,US,PHP,3.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
540Ec0I1E97-8,J4.7,5,Undergraduate_Student,Female,3,US,JAVA,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
15GG-1G-6I44-8:1540CE2g-7G26-4,J1.8,5,Professional_Developer,Male,10,US,php,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,0.00,2.00,1.00
1520Ea3c0E3-65:9AI0g4a-386,J1.8,5,Graduate_Student,Male,3,INDIA,JAVA,0.00,1.00,0.00,1.00,0.00,0.50,1.00,0.50,2.00,0.50,0.18,1.00,1.00
794gi1e-9c3-70,J4.7,4,Professional_Developer,Male,5,INDIA,"C,C++,C#",0.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
73EA0a-7i-7-8-9,J4.7,5,Graduate_Student,Male,4,US,C++,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
1456eI-3g8a-22-2:488gG-7E2G-8-68,J4.7,4,Other,Male,2.5,US,Do not currently use,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
63GI-8C5a906:400EE-2a-6c-4-89,J8.54,4,Other,Male,50,US,"vbs, c/c++, autoit",0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
619cG-3e8i71-7,J8.54,5,Professional_Developer,Female,6,US,JAVA,0.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
562iC0e2c-7-5-1,J3.6,4,Undergraduate_Student,Male,3,US,JAVA,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
1221iC8A5A242:495CC9e6a691:11aE2c-4c-9-86,J1.8,4,Undergraduate_Student,Male,4,US,C++,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
1244ie-4G-4g486,J6.51,4,Professional_Developer,Male,3,US,JAVA,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
293iG4A-3I005,J3.6,4,Other,Female,30,US,C,0.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
398Ca1e4I7-8-4,J3.6,5,Professional_Developer,Male,5,INDIA,JAVA,2.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
1231Ce3g6C290,J6.51,5,Professional_Developer,Male,10,US,PHP,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
55eg3A1g1-8-9,J4.7,5,Professional_Developer,Male,3,US,JAVA,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
740Ce1I9I-71-7,J8.54,5,Professional_Developer,Male,20,INDIA,PHP,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
581Aa2A0a9-60,J4.7,3,Undergraduate_Student,Male,2,US,JAVA,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
41eI0e3i-806:568Ae7g8c-7-1-2,J3.6,5,Hobbyist,Male,4,US,JAVA,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
428iG0c6A-7-8-1,J5.35,5,Hobbyist,Male,8,US,JAVA,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
820ga-8C6c5-33,J4.7,4,Undergraduate_Student,Male,4,US,JAVA,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
78cA-9e4a2-6-7,J1.8,5,Hobbyist,Female,1,US,none,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
963eA7C5A9-8-1,J4.7,5,Undergraduate_Student,Male,8,US,JAVA,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
1427iI-5G6C-1-36,J4.7,5,Graduate_Student,Male,2,US,JAVA,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,0.00,2.00,1.00
1635CE6g8g-39-8,J4.7,4,Undergraduate_Student,Male,6,US,Python,3.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
729GG8e-8G-263:66AA0C-8E701,J6.51,5,Graduate_Student,Male,10,US,C++,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
1587ee-3A7e8-7-2,J4.7,4,Undergraduate_Student,Male,2,US,JAVA,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,1.00,0.30,0.00,1.00
832cg-7G1i-462:73eI-8E-2g-985,J1.8,5,Undergraduate_Student,Male,7,US,JAVA,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
1432Ge-2A-6a-382,J4.7,4,Hobbyist,Male,10,US,Python,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
1005eg-1g2c-9-80,J4.7,5,Professional_Developer,Female,4,US,PHP,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
830gA-8i-9I517,J4.7,5,Professional_Developer,Male,6,INDIA,JAVA,0.00,1.00,0.00,2.00,0.00,0.33,1.00,0.33,3.00,0.67,0.22,1.00,1.00
20ca-1G-6C-3-7-3:10AE4G-4a370:46AI8G-4A8-2-2,J4.7,5,Professional_Developer,Male,2,INDIA,JAVA,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
1367Cg2a9C-61-4,J4.7,4,Professional_Developer,Male,3,INDIA,JAVA,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
30eI-1g0G8-78,J4.7,4,Graduate_Student,Male,3,INDIA,JAVA,1.00,1.00,0.00,2.00,0.00,0.33,1.00,0.33,3.00,0.67,0.22,1.00,1.00
1144aG9I5E-609,J4.7,3,Hobbyist,Female,2,US,JAVA,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.30,0.00,1.00
1359aA0A-5i-692,J4.7,3,Graduate_Student,Male,1,INDIA,c,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,0.00,2.00,1.00
1352EE-8i-9i75-2,J4.7,3,Graduate_Student,Male,2,madurai,JAVA,2.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,1.00,0.30,0.00,1.00
1553ce3G-9A-4-3-9,J4.7,4,Hobbyist,Male,2,US,JAVA,2.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
707eg-6e-2a05-2,J5.35,5,Professional_Developer,Male,3,INDIA,JAVA,0.00,1.00,0.00,2.00,0.00,0.33,1.00,0.33,3.00,0.67,0.22,1.00,1.00
66AC-5a0g-47-9:1443IA-7C-6e967,J4.7,5,Professional_Developer,Male,17,US,JAVA,0.00,1.00,0.00,1.00,0.00,0.50,1.00,0.50,2.00,0.50,0.18,1.00,1.00
1541iI-2a2i3-42,J3.6,4,Professional_Developer,Male,25,US,JAVA,3.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
1117AG3e4C-92-7,J4.7,5,Other,Female,2,US,PHP,0.00,1.00,0.00,1.00,0.00,0.50,1.00,0.50,2.00,0.50,0.18,1.00,1.00
1157ca-1E-5e-564,J4.7,4,Undergraduate_Student,Male,2,US,C,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
970AG-5G9G0-86,J6.51,4,Hobbyist,Male,1,US,BASIC,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
52Ce2i0i-614,J4.7,5,Hobbyist,Male,15,US,"C++, Visual Basic",0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
1245CI-3g-1a1-72,J4.7,5,Undergraduate_Student,Male,1,US,C++,2.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
1340Gi0e-4G-265,J4.7,5,Professional_Developer,Male,4,INDIA,JAVA,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.50,2.00,0.50,0.18,1.00,1.00
629Ee-9e7e9-32,J5.35,4,Professional_Developer,Male,8,INDIA,JAVA,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
262IG-2i-1e-860,J3.6,5,Undergraduate_Student,Female,1,US,JAVA,1.00,1.00,0.00,2.00,0.00,0.33,1.00,0.33,3.00,0.67,0.22,1.00,1.00
83gE-9E9a-176:1609ca8I0E-894,J1.8,4,Undergraduate_Student,Male,9,US,c++,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,0.00,2.00,1.00
1568aA-4c6i-106:505iC4e-2c-439,J4.7,3,Professional_Developer,Male,15,US,"Perl, SQL",0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
447Ic-4a0e0-7-3,J3.6,4,Undergraduate_Student,Male,2,US,C++,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
5ai0i-8E-72-1,J5.35,3,Professional_Developer,Female,5,INDIA,JAVA,0.00,1.00,0.00,2.00,0.00,0.33,1.00,0.33,3.00,0.67,0.22,1.00,1.00
666cg2a-4C2-83,J4.7,3,Hobbyist,Female,12,US,C++,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
664Ge2a-4e-66-2,J3.6,3,Hobbyist,Female,0,US,NONE,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
657eE-7g8g0-33,J4.7,5,Undergraduate_Student,Female,1,Canada,C#,3.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
54ee2E5G30-4,J4.7,4,Hobbyist,Male,1,US,JAVA,2.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
1147iA9a5c196,J6.51,3,Hobbyist,Female,1,US,C#,3.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
1517gG7e-9a5-12:13EE-9c-7e880,J1.8,5,Graduate_Student,Female,4,INDIA,JAVA,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.50,2.00,0.50,0.18,1.00,1.00
