workerID,fileName,score,profession,gender,yearsOfProgramming,country,programmingLanguage,IDKLevel,TP,TN,FP,FN,CorrectAnswers,TotalAnswers
11IC-3a0E1-10:322iA-8I0A31-6:671Ca6c4e-5-9-9,J3.6,4.00,Professional_Developer,Male,20.00,US,JAVA,0.00,0.00,1.00,0.00,0.00,1.00,1.00
680ce-8i-5C06-6:70Ec7A4e-7-84,J6.51,4.00,Graduate_Student,Male,6.00,INDIA,JAVA,1.00,0.00,0.00,1.00,1.00,0.00,2.00
1473AA6C1c-25-6,J1.8,4.00,Professional_Developer,Female,9.00,INDIA,PHP,0.00,0.00,2.00,0.00,0.00,2.00,2.00
139ga6a-3G761,J1.8,5.00,Professional_Developer,Male,4.00,INDIA,JAVA,0.00,0.00,3.00,0.00,0.00,3.00,3.00
28Gc-2i-9C-18-2:442cA-6G6i-749,J8.54,4.00,Professional_Developer,Female,14.00,US,c++,0.00,0.00,2.00,1.00,0.00,2.00,3.00
807iG4c-8c-64-7,J4.7,5.00,Professional_Developer,Female,35.00,US,JAVA,1.00,0.00,2.00,0.00,0.00,2.00,2.00
86GI-2G8C0-73,J7.33,4.00,Hobbyist,Male,15.00,US,c++,0.00,0.00,2.00,0.00,0.00,2.00,2.00
33ac-3i3I5-8-3:72ag4C-7e4-1-9,J1.8,5.00,Hobbyist,Male,13.00,US,"Python, Elixir",0.00,0.00,3.00,0.00,0.00,3.00,3.00
396ie3E5A9-5-3,J3.6,3.00,Professional_Developer,Male,20.00,US,"PHP, Perl",0.00,1.00,1.00,1.00,0.00,2.00,3.00
79Ee8i-7i-5-2-9,J4.7,3.00,Hobbyist,Male,1.00,US,JAVA,1.00,0.00,0.00,0.00,0.00,0.00,0.00
780gG-8i-5e5-91,J3.6,5.00,Undergraduate_Student,Male,5.00,US,R,0.00,0.00,1.00,0.00,0.00,1.00,1.00
1049cG0C6I034,J4.7,4.00,Graduate_Student,Male,5.00,US,JAVA,0.00,0.00,2.00,1.00,0.00,2.00,3.00
4ec3E-4a-28-2,J2.24,3.00,Professional_Developer,Female,5.00,US,JAVA,0.00,0.00,2.00,1.00,0.00,2.00,3.00
85EG-9G-9A73-8:1686gc9a4I6-23,J2.24,3.00,Other,Female,0.00,US,None,1.00,0.00,0.00,2.00,0.00,0.00,2.00
1343cA-3i-4c068,J2.24,3.00,Professional_Developer,Male,3.00,INDIA,perl,0.00,0.00,0.00,2.00,0.00,0.00,2.00
922iC0E-2E713:117cA2E0I8-80,J4.7,5.00,Hobbyist,Male,1.00,INDIA,php,0.00,0.00,0.00,3.00,0.00,0.00,3.00
