First,Second,Third
72.061,27.998,20.345
131.485,318.196,167.123
129.046,135.443,126.603
276.233,119.583,107.346
268.145,194.647,215.278
442.064,100.688,24.871
467.584,164.889,336.265
1700.321,146.386,63.011
546.832,562.993,50.561
198.968,157.04,969.53
134.977,76.461,74.431
514.566,45.191,66.424
895.822,137.525,155.574
200.125,50.769,79.183
235.386,57.031,55.9
140.626,63.441,41.099
993.386,496.52,27.238
162.658,81.909,73.816
474.107,331.809,90.882
79.847,69.368,49.678
177.102,96.114,337.624
1074.931,74.804,194.539
226.92,247.533,57.54
268.485,99.518,122.927
431.344,75.243,71.854
562.904,290.941,34.038
156.707,99.835,306.154
251.871,30.739,38.593
39.242,63.811,129.108
1523.65,322.857,65.48
105.015,7.328,77.033
240.799,84.68,57.447
230.524,54.33,226.31
82.69,220.429,35.89
88.588,58.673,74.398
213.511,252.02,65.763
52.15,228.137,84.196
55.036,26.055,35.308
228.156,80.907,102.074
1364.67,70.3,174.437
935.235,79.257,78.616
839.098,80.128,210.567
279.43,159.549,197.313
448.722,131.033,280.719
297.405,73.867,73.377
249.623,105.483,91.977
273.973,106.39,85.137
742.928,48.024,43.51
572.613,100.181,216.495
116.947,634.609,267.317
464.811,94.979,63.07
572.287,133.565,137.564
301.832,472.212,158.407
830.002,154.19,198.503
631.832,88.125,55.856
109.317,115.06,94.283
975.87,37.12,90.984
413.458,165.434,133.711
249.796,264.833,77.696
218.839,97.47,46.644
1113.025,65.404,215.416
179.906,97.034,126.945
396.449,949.159,113.62
126.613,66.349,981.882
699.947,192.496,107.123
289.349,77.641,44.62
222.082,68.932,38.786
416.662,40.778,202.515
368.5,125.81,277.056
523.026,46.937,426.022
73.235,27.755,125.522
243.156,325.778,214.53
135.77,364.273,37.472
306.352,27.281,113.069
175.319,34.452,140.407
1098.169,64.934,77.018
366.388,84.774,112.409
62.368,97.36,76.418
129.911,144.649,261.928
220.824,114.475,236.045
56.051,93.045,259.79
94.987,60.89,230.142
196.516,218.695,85.97
126.139,42.667,69.671
377.512,93.64,50.365
265.929,189.911,248.283
471.387,148.875,151.745
744.518,141.524,58.563
286.373,233.341,9.679
354.378,26.997,126.75
150.079,17.746,52.646
1571.708,135.377,83.182
635.562,47.727,184.84
137.595,72.472,504.882
40.701,28.429,89.023
271.58,75.028,133.94
138.806,21.393,1010.832
155.351,59.363,178.223
32.826,235.788,18.544
50.738,236.919,40.057
35.532,28.148,717.268
39.864,64.129,12.157
644.626,289.446,486.713
542.43,79.65,53.04
24.864,246.997,448.005
151.136,430.776,1201.739
146.933,56.814,444.192
216.79,120.736,99.381
384.67,96.292,47.84
441.698,149.272,145.114
411.175,26.873,39.059
81.686,323.591,264.759
358.683,1265.026,1539.568
154.417,226.19,230.47
266.89,8.048,10.559
153.794,130.727,290.75
749.545,219.534,110.23
646.332,127.787,46.668
227.078,140.553,110.709
51.357,179.284,490.15
221.378,29.123,18.621
879.711,161.379,118.024
167.881,690.793,53.217
188.914,288.939,72.774
196.761,176.46,315.894
115.574,764.577,88.601
198.107,635.968,625.927
173.413,313.537,106.54
373.6,444.719,49.47
282.815,172.493,91.074
339.969,72.664,119.69
68.14,349.618,30.838
412.093,638.474,45.703
246.256,288.017,52.122
160.894,72.599,365.588
966.845,415.64,87.047
154.075,546.366,39.342
112.173,26.122,173.042
65.443,323.388,178.654
74.467,27.038,148.113
172.453,118.128,56.45
1157.78,109.986,320.875
96.295,248.427,398.124
446.432,761.08,42.65
236.778,92.21,49.64
70.674,382.065,756.049
219.983,239.883,126.862
192.987,187.967,123.708
598.267,224.401,91.199
69.174,413.841,135.616
907.491,245.9,570.157
135.986,132.644,1234.548
88.758,105.782,166.749
243.675,304.756,35.574
367.514,111.968,573.681
177.161,128.905,169.882
42.527,43.454,211.537
470.148,1201.538,229.846
181.988,213.028,69.77
51.389,350.497,75.16
490.56,297.519,528.207
46.879,583.827,246.775
292.521,46.531,133.539
613.23,100.942,269.151
63.927,240.231,139.837
250.579,134.115,847.262
71.587,253.302,93.942
98.287,89.521,503.857
60.73,362.489,355.654
187.785,32.16,98.554
552.676,47.276,386.801
986.828,161.419,143.094
307.616,58.673,34.386
840.834,129.491,120.666
108.216,84.408,73.944
672.1,439.439,626.369
447.283,32.477,119.124
408.108,244.33,483.134
130.86,43.859,27.374
124.893,277.599,174.817
314.031,193.602,29.263
672.122,178.394,90.683
96.429,164.161,119.481
141.817,31.183,114.311
96.902,61.366,21.69
66.873,137.484,165.131
1447.71,41.118,32.185
258.274,544.493,42.21
295.672,48.023,149.871
447.514,262.657,499.741
1319.983,148.382,110.19
1342.017,100.603,57.441
377.479,792.455,118.038
287.382,358.228,9.663
100.01,175.116,412.686
134.496,602.781,265.493
1063.672,450.069,78.399
844.395,409.454,269.514
699.73,269.281,136.195
239.053,1389.055,70.232
481.993,127.455,109.389
629.296,275.08,153.187
102.257,326.81,49.326
653.323,271.321,73.691
354.191,33.342,202.666
711.501,1007.208,51.151
612.874,667.281,59.756
178.011,436.028,66.693
79.13,457.226,70.855
444.768,81.474,614.471
469.739,192.74,1310.249
344.45,324.765,19.028
36.202,223.894,34.394
840.945,181.985,92.177
431.874,145.385,27.709
353.664,225.484,134.403
478.805,75.758,195.278
82.741,396.716,136.535
270.018,899.377,27.27
96.313,253.272,59.199
195.033,1587.36,53.432
647.935,101.271,64.119
339.742,1021.535,197.043
327.541,315.783,118.517
956.777,191.34,435.303
39.985,179.619,93.66
398.935,170.445,67.867
213.467,558.108,348.567
332.593,60.593,64.665
316.157,238.71,35.241
819.357,73.682,33.069
395.44,601.344,243.261
278.743,578.972,255.656
640.191,80.013,32.184
449.828,1203.651,1433.843
404.604,81.137,78.652
370.031,183.586,85.817
75.161,63.598,62.085
1240.757,235.425,41.001
509.675,107.58,99.783
86.595,513.407,19.305
241.63,224.683,80.325
455.783,429.824,214.545
245.06,137.11,135.666
1015.295,86.033,101.431
350.264,85.677,93.406
197.188,103.268,163.008
229.05,152.8,66.048
183.94,144.621,49.007
1591.998,35.883,28.936
333.423,791.811,61.578
207.111,45.997,88.35
22.939,103.785,203.978
159.009,76.04,1767.604
1510.061,85.744,64.556
250.451,138.103,62.117
1486.719,289.441,23.422
225.442,221.876,64.33
1477.009,1138.751,28.423
468.302,29.303,62.667
28.412,217.184,92.322
333.491,641.989,541.769
475.649,12.998,57.376
313.788,101.515,273.09
897.097,297.243,573.757
213.944,409.067,28.313
1500.332,45.474,38.932
307.36,336.005,207.802
26.713,73.737,16.05
301.529,230.176,22.329
653.661,111.133,152.337
341.296,219.527,109.113
341.944,69.926,42.437
156.818,897.319,29.643
1786.789,715.722,48.807
202.809,245.771,81.221
246.37,380.12,178.303
218.785,400.552,401.687
332.839,10.941,214.716
751.868,205.525,403.365
185.99,347.015,135.838
36.554,68.29,271.678
314.499,158.352,61.088
370.394,116.81,139.63
401.187,133.827,199.696
