Column1,Column2
2,51
3,18
2,18
3,18
4,18
3,18
1,18
1,18
1,18
2,18
1,18
18,18
8,18
3,18
1,18
1,18
4,18
2,18
2,18
5,18
1,18
0,19
1,19
3,19
2,19
2,19
2,19
1,19
1,19
4,19
4,19
1,19
3,19
3,19
2,19
1,19
2,19
2,19
2,19
3,19
3,19
2,19
1,19
1,19
2,19
0,19
.5,19
2,19
8,19
1,19
1,19
4,19
2,19
1,19
5,19
1,19
3,19
2,19
4,19
1,19
1,19
3,19
2,19
2,19
1,20
1,20
3,20
2,20
2,20
1,20
1,20
10,20
0,20
3,20
8,20
2,20
1,20
2,20
1,20
2,20
1,20
1,20
6,20
0,20
5,20
1,20
2,20
2,20
2,20
8,20
2,20
2,20
3,20
2,20
8,20
1,20
5,20
2,20
2,20
0,20
0,20
0,20
0,20
1,20
2,20
4,20
2,20
2,20
2,20
2,20
3,20
2,20
2,20
4,20
3,20
2,20
4,20
0,20
2,20
1,20
1,20
0,20
1,20
4,20
2,20
2,20
1,20
3,20
3,20
1,20
3,20
1,20
5,20
1,20
1,21
5,21
7,21
4,21
1,21
5,21
7,21
3,21
1,21
6,21
3,21
1,21
6,21
0,21
1,21
1,21
3,21
1,21
21,21
2,21
2,21
3,21
4,21
3,21
0,21
1,21
3,21
1,21
2,21
2,21
2,21
3,21
1,21
1,21
1,21
1,21
0,21
1,21
0,21
2,21
3,21
2,21
1,21
2,21
2,21
3,21
1,21
1,21
2,21
1,21
1,21
2,21
3,21
1,21
2,21
3,21
1,21
6,21
1,21
2,21
2,21
1,21
2,21
3,21
3,21
1,21
2,21
1,21
2,21
2,21
3,21
0,21
1,21
3,21
3,21
3,21
1,21
5,21
2,21
0,21
10,21
2,21
4,22
1,22
2,22
0,22
1,22
2,22
-1,22
4,22
2,22
1,22
2,22
1,22
1,22
1,22
5,22
1,22
2,22
2,22
0,22
2,22
1,22
0,22
2,22
3,22
6,22
3,22
2,22
1,22
7,22
1,22
9,22
2,22
2,22
4,22
2,22
3,22
0,22
4,22
2,22
1,22
1,22
1,22
1,22
3,22
1,22
6,22
5,22
1,22
1,22
3,22
3,22
2,22
2,22
1,22
0,22
3,22
2,22
2,22
1,22
5,22
3,22
1,22
1,22
3,22
1,22
1,22
1,22
2,22
1,22
1,22
1,22
1,22
1,22
0,22
2,22
4,22
2,22
1,22
5,22
3,22
1,22
5,22
0,22
2,22
2,22
1,22
4,22
3,22
5,22
1,22
2,22
2,22
2,22
2,22
2,22
1,22
0,22
2,22
0,22
2,22
0,22
2,22
1,22
1,22
3,22
1,22
9,22
2,22
.5,22
1,23
0,23
2,23
3,23
1,23
0,23
3,23
2,23
7,23
4,23
2,23
0,23
3,23
5,23
0,23
1,23
6,23
0,23
4,23
2,23
4,23
2,23
4,23
1,23
3,23
1,23
4,23
6,23
3,23
1,23
1,23
1,23
5,23
2,23
3,23
1,23
7,23
5,23
2,23
1,23
2,23
3,23
3,23
2,23
10,23
1,23
4,23
2,23
1,23
2,23
5,23
0,23
1,23
3,23
2,23
6,23
2,23
1,23
3,23
3,23
2,23
5,23
1,23
3,23
0,23
1,23
4,23
3,23
1,23
2,23
1,23
2,23
1,23
3,23
6,23
5,23
2,23
2,23
5,23
6,23
1,23
4,23
0,23
2,23
5,23
2,23
0,23
1,23
4,23
2,23
2,23
2,23
1,23
4,23
0,23
2,23
6,23
3,23
2,23
4,23
2,23
3,23
2,23
3,23
1,23
3,23
1,23
1.5,23
1,23
3,23
3,23
0,23
4,23
3,23
1,23
4,23
0,23
2,23
2,23
2,23
1,23
5,23
2,23
1,23
6,24
0,24
0,24
3,24
2,24
3,24
3,24
0,24
1,24
0,24
1,24
1,24
3,24
6,24
3,24
2,24
1,24
2.5,24
2,24
4,24
2,24
1,24
6,24
2.5,24
4,24
4,24
7,24
5,24
1,24
2,24
5,24
1,24
1,24
2,24
2.5,24
3,24
1,24
2.5,24
2,24
3,24
2,24
0,24
4,24
4,24
5,24
1,24
5,24
2,24
1,24
0.5,24
2,24
0,24
2,24
3,24
2,24
5,24
1,24
2,24
3,24
1,24
8,24
1,24
6,24
2,24
1,24
2.5,24
2,24
2,24
1,24
1,24
4,24
8,24
5,24
3,24
0,24
2,24
2,24
1,24
3,24
3,24
2.5,24
5,24
1,24
3,24
2,24
4,24
4,24
1,24
3,24
0,24
1,24
1,24
2,24
0,24
0,24
2,24
1,24
3,24
1,24
2,24
7,24
1,24
3,24
3,24
2,24
5,24
1,24
2.5,24
6,24
1,24
3,24
2,24
5,24
2,24
3,24
3,24
7,24
1,24
1,24
5,24
1,24
4,24
0,24
2,24
7,24
2,24
2,24
2,24
2,24
0,24
1,24
6,24
4,24
2,24
4,24
2,24
1,24
2,24
1,24
2,24
1,24
1,24
8,24
4,24
1,24
2,25
4,25
2,25
3,25
9,25
3,25
0,25
3,25
8,25
2,25
2,25
1,25
4,25
2,25
7,25
2,25
2,25
1,25
2,25
3,25
1,25
5,25
5,25
4,25
7,25
3,25
3,25
2,25
3,25
1,25
03,25
5,25
1,25
3,25
1,25
3,25
3,25
0,25
3,25
6,25
3,25
6,25
3,25
3,25
1,25
4,25
2,25
5,25
0,25
2,25
4,25
5,25
2,25
2,25
