Worker Id,User quit ?,Worker Score,Worker Experience,Years Programming,Worker Gender,Worker Age,Worker Country,Prog Language,Learned on,#HITs,#Questions Answered,#Yes,#No's,#IDK,Difficulty Average,Confidence Average,Answer Duration Average,Day of most answers,#Expected Yes,#Expected No's,Optimism(Yes'/Expected Yes's),Pessimism(No'/Expected No's),#True Positives,#True Negatives,#False Positives,#False Negatives,#IDK2,Total,,,
1376AE-9a-6C-7-1-9,Failed Test,0,Graduate_Student,0.00,Female,24,United States,None,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.50
,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
551Cg7C1A-2-1-4,Quit,-1,Graduate_Student,0.00,Female,40,USA,I don't know,Other ?,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.50
1252aA-1C9A823,Failed Test,40,Graduate_Student,0.00,Female,31,United States of America,HTML,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.50
1661gC-6C9C117,Failed Test,40,Graduate_Student,0.00,Female,22,USA,html?,Other none,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.50
57iG3i7G1-35,Failed Test,-1,Graduate_Student,0.00,Female,25,INDIA,C,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.50
74Cg9G-2a737,Failed Test,-1,Graduate_Student,0.00,Male,28,United States,none,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.00
463ag0E-5E81-8,Failed Test,20,Graduate_Student,0.00,Female,48,USA,HTML,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.00
1586CI-4I2a27-1,Failed Test,-1,Graduate_Student,0.00,Female,26,usa,na,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.00
860aE-6E0G9-1-3,Failed Test,-1,Graduate_Student,0.00,Female,24,U.S.,English,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.00
1045ic-6G5g684,Failed Test,0,Graduate_Student,0.00,Male,38,India,I am not using any programming languages because i am a non-IT person.,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.00
1163iG4G0c-975,Failed Test,20,Graduate_Student,0.00,Female,24,USA,English,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.00
1412cA-8c0i-2-31,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
338eI-3e-1g-954,Failed Test,-1,Graduate_Student,0.00,Female,24,united states,english,High School,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.00
