YoE,Gender,Age
0.50,Male,71
0.50,Female,26
0.50,Female,26
0.50,Male,19
0.50,Male,22
0.00,Female,24
0.00,Female,19
0.00,Female,38
0.00,Male,22
0.00,Male,23
0.00,Female,26
0.00,Female,24
0.00,Female,25
0.00,Male,23
0.00,Female,49
0.00,Female,28
0.00,Male,24
0.00,Male,27
0.00,Male,24
0.00,Male,61
0.00,Female,29
0.00,Female,23
0.00,Female,27
0.00,Female,27
0.00,Female,23
0.00,Female,33
0.00,Male,23
0.00,Female,34
0.00,Female,27
0.00,Female,62
0.00,Female,39
0.00,Female,43
0.00,Male,22
0.00,Male,36
0.00,Male,20
0.00,Male,36
0.00,Female,33
0.00,Female,51
0.00,Other,100
0.00,Female,37
0.00,Female,62
0.00,Female,22
0.00,Male,35
0.00,Male,44
0.00,Male,28
0.00,Female,21
0.00,Female,25
0.00,Female,28
0.00,Female,31
0.00,Male,37
0.00,Female,52
0.00,Female,40
0.00,Female,26
0.00,Female,55
0.00,Female,28
0.00,Female,20
0.00,Female,31
0.00,Female,25
0.00,Male,43
0.00,Male,28
0.00,Female,50
0.00,Male,37
0.00,Female,35
0.00,Female,24
0.00,Female,23
0.00,Female,21
0.00,Female,22
0.00,Female,44
0.00,Male,29
0.00,Female,25
0.00,Female,31
0.00,Male,27
0.00,Female,29
0.00,Female,33
0.00,Female,27
0.00,Male,41
0.00,Female,32
0.00,Female,24
0.00,Male,28
0.00,Male,34
0.00,Female,35
0.00,Female,63
0.00,Female,33
0.00,Male,46
0.00,Male,38
0.00,Male,27
0.00,Female,28
0.00,Female,25
0.00,Male,23
0.00,Female,21
0.00,Male,30
0.00,Female,28
0.00,Female,29
0.00,Male,40
0.00,Female,31
0.00,Male,31
0.00,Female,41
0.00,Female,21
0.00,Female,48
0.00,Female,29
0.00,Female,26
0.00,Male,22
0.00,Male,35
0.00,Female,26
0.00,Female,27
0.00,Female,52
0.00,Female,19
0.00,Male,20
0.00,Female,24
0.00,Male,64
0.00,Male,38
0.00,Male,27
0.00,Female,28
0.00,Male,31
0.00,Female,52
0.00,Female,59
0.00,Female,39
0.00,Male,20
0.00,Female,20
0.00,Female,20
0.00,Male,23
0.00,Male,25
0.00,Female,58
0.00,Female,61
0.00,Female,24
0.00,Female,23
0.00,Female,25
0.00,Male,27
0.00,Male,27
0.00,Female,25
0.00,Female,24
0.00,Female,24
0.00,Male,48
0.00,Female,22
0.00,Female,27
0.00,Male,28
0.00,Female,39
0.00,Female,23
0.00,Female,39
0.00,Male,27
0.00,Female,34
0.00,Female,32
0.00,Female,35
0.00,Female,41
0.00,Female,33
0.00,Female,22
0.00,Female,26
0.00,Female,20
0.00,Male,25
0.00,Female,52
0.00,Female,49
0.00,Female,35
0.00,Female,25
0.00,Female,54
0.00,Female,33
0.00,Male,20
0.00,Male,34
0.00,Female,40
0.00,Female,27
0.00,Female,28
0.00,Female,29
0.00,Female,25
0.00,Female,27
0.00,Male,34
0.00,Female,26
0.00,Male,21
0.00,Female,26
0.00,Female,25
0.00,Female,43
0.00,Male,22
0.00,Male,27
0.00,Female,27
0.00,Male,27
0.00,Male,23
0.00,Female,55
0.00,Female,24
0.00,Female,22
0.00,Female,43
0.00,Female,31
0.00,Male,22
0.00,Female,46
0.00,Male,23
0.00,Male,41
0.00,Male,31
0.00,Female,29
0.00,Female,52
0.00,Female,63
0.00,Male,24
0.00,Female,37
0.00,Male,28
0.00,Female,46
0.00,Female,29
0.00,Female,21
0.00,Male,60
0.00,Female,41
0.00,Female,39
0.00,Female,36
0.00,Female,38
0.00,Female,26
0.00,Female,51
0.00,Female,36
0.00,Female,29
0.00,Female,38
0.00,Female,27
0.20,Female,41
0.50,Male,24
1.00,Male,26
1.00,Male,25
1.00,Female,26
1.00,Female,26
1.00,Female,26
3.00,Male,25
3.00,Male,25
1.00,Female,50
1.00,Male,22
1.00,Male,23
1.00,Male,21
1.00,Male,34
1.00,Male,32
1.00,Male,26
1.00,Female,28
1.00,Female,22
1.00,Female,20
1.00,Male,23
1.00,Female,34
1.00,Male,19
1.00,Male,32
1.00,Female,29
1.00,Female,49
1.00,Female,22
1.00,Prefer not to tell,20
1.00,Male,22
1.00,Male,33
1.00,Female,40
1.00,Female,24
1.00,Male,29
1.00,Male,22
1.00,Male,38
1.00,Male,24
1.00,Male,22
1.00,Male,24
1.00,Female,29
1.00,Male,25
1.00,Male,38
1.00,Female,21
1.00,Male,30
1.00,Female,28
1.00,Female,22
1.00,Male,38
1.00,Female,30
1.00,Male,23
1.00,Female,24
1.00,Female,39
1.00,Female,31
1.00,Female,30
1.00,Male,29
1.00,Female,45
1.00,Male,25
1.00,Male,20
1.00,Male,42
1.00,Female,45
1.00,Female,25
1.00,Male,52
1.00,Female,20
1.00,Male,26
1.00,Male,28
1.00,Male,43
1.00,Male,23
1.00,Female,41
1.00,Male,30
1.00,Male,28
1.00,Male,30
1.00,Male,23
1.00,Female,40
1.00,Female,31
1.00,Male,29
1.00,Female,24
1.00,Male,29
1.00,Male,21
1.00,Male,29
1.00,Male,34
1.00,Male,29
1.00,Male,20
1.00,Male,29
1.00,Female,50
1.00,Female,22
1.00,Female,44
1.00,Male,30
1.00,Female,28
1.00,Male,29
1.00,Female,39
1.00,Female,23
1.00,Male,27
1.00,Male,23
1.00,Female,54
1.00,Male,47
1.00,Male,25
1.00,Female,54
1.00,Male,25
1.00,Male,20
1.00,Female,19
1.00,Female,37
1.00,Male,21
1.00,Female,23
1.00,Male,25
1.00,Female,28
1.00,Male,23
1.00,Male,19
1.00,Male,32
1.00,Male,33
1.00,Male,28
1.00,Male,27
1.00,Male,21
1.00,Female,20
1.00,Female,46
1.00,Female,20
1.00,Male,30
1.00,Male,32
1.00,Female,35
1.00,Male,31
1.00,Female,22
1.00,Female,34
1.00,Male,28
1.00,Male,27
1.00,Female,21
1.00,Female,35
1.00,Male,27
1.00,Male,33
1.00,Male,27
1.00,Female,29
1.00,Female,25
1.00,Male,24
1.00,Female,29
1.00,Male,23
1.00,Male,33
1.00,Male,22
1.00,Male,27
1.00,Male,21
1.00,Male,32
1.00,Male,26
1.00,Male,33
1.00,Female,49
1.00,Female,30
1.00,Prefer not to tell,19
1.00,Female,24
1.00,Female,37
1.00,Female,20
1.00,Male,24
1.00,Female,27
1.00,Male,29
1.00,Female,34
1.00,Female,28
1.00,Male,24
1.00,Female,51
1.00,Male,23
1.00,Male,32
1.00,Male,33
1.00,Male,23
1.00,Female,33
1.00,Male,26
1.00,Male,27
1.00,Male,32
1.00,Female,26
1.00,Male,28
1.00,Female,29
1.00,Male,21
1.00,Female,19
1.00,Male,26
1.00,Male,21
1.00,Female,23
1.00,Male,29
1.00,Male,49
1.00,Female,43
1.00,Male,57
1.00,Female,18
1.00,Male,24
1.00,Male,30
1.00,Male,18
1.00,Female,32
1.00,Female,24
1.00,Female,30
1.00,Female,22
1.00,Prefer not to tell,36
1.00,Male,22
1.00,Male,29
1.00,Female,40
1.00,Male,22
1.00,Male,27
1.00,Male,33
1.00,Female,32
1.00,Male,29
1.00,Female,43
1.00,Male,27
1.00,Male,32
1.00,Male,25
1.00,Male,22
1.00,Female,27
1.00,Female,21
1.00,Female,34
1.00,Male,21
1.00,Male,23
1.00,Female,29
1.00,Female,35
1.00,Female,26
1.00,Female,36
1.00,Female,32
1.00,Male,21
1.00,Male,27
1.00,Female,24
1.00,Male,21
1.00,Male,23
1.00,Male,22
1.00,Male,30
1.00,Male,27
1.00,Male,30
1.00,Male,29
1.00,Female,23
1.00,Male,32
1.00,Male,20
1.00,Male,21
1.00,Male,25
1.00,Male,23
1.00,Male,25
1.00,Female,22
1.00,Female,25
1.00,Male,26
1.00,Male,22
1.00,Female,28
1.00,Female,40
1.00,Male,24
1.00,Male,24
1.00,Male,19
1.00,Female,18
1.00,Female,31
1.00,Female,51
1.00,Female,24
1.00,Female,36
1.00,Female,25
1.00,Male,26
1.00,Male,28
1.00,Female,27
1.00,Female,19
1.00,Female,26
1.00,Male,22
1.00,Female,29
1.00,Male,23
1.00,Male,28
1.00,Male,31
1.00,Male,29
1.00,Male,27
1.00,Female,24
1.00,Female,24
1.00,Male,55
1.00,Female,21
1.00,Male,36
1.00,Female,30
1.00,Male,35
1.00,Female,25
1.00,Male,22
1.00,Male,23
1.00,Male,18
1.00,Female,26
1.00,Female,61
1.00,Male,30
1.00,Male,25
1.00,Female,45
1.00,Male,25
1.00,Male,30
1.00,Male,22
1.00,Female,26
1.00,Male,24
1.00,Male,22
1.00,Female,21
1.00,Female,30
1.00,Male,22
1.00,Female,32
1.00,Male,22
1.00,Female,23
1.00,Female,25
1.00,Male,21
1.00,Male,22
1.00,Male,28
1.00,Female,18
1.00,Male,27
1.00,Female,33
1.00,Male,24
1.00,Male,20
1.00,Female,35
1.00,Female,25
1.00,Female,27
1.00,Female,26
1.00,Male,22
1.00,Female,35
1.00,Male,28
1.00,Male,49
1.00,Female,21
1.00,Male,28
1.00,Male,35
1.00,Male,24
1.00,Male,28
1.00,Female,28
1.00,Male,22
1.00,Male,22
1.00,Male,26
1.00,Male,26
1.00,Male,31
1.00,Female,21
1.00,Male,24
1.00,Male,28
1.00,Female,36
1.00,Male,25
1.00,Female,26
1.00,Female,29
1.00,Female,32
1.00,Male,18
1.00,Male,36
1.00,Female,19
1.00,Male,23
1.00,Female,37
1.00,Male,29
1.00,Female,33
1.00,Female,29
1.00,Female,24
1.00,Male,25
1.00,Male,22
1.00,Male,33
