YoE_Professional_Developer,YoE_Hobbyist,YoE_Graduate_Student,YoE_Undergraduate_Student,Other,YoE_nonProfessionals
0,0.5,0,0.5,0.5,0.5
0,0.5,0,0.5,0,0.5
1,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0,0,0
10,0,1,0.2,0,0
10,0,1,0.5,0,0
10,0,1,1,0,0
10,0,1,1,0,0
10,0,1,1,0,0
10,0,1,1,0,0
10,0,1,1,0,0
11,0,1,1,0,0
11,1,1,1,0,1
11,1,1,1,0,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
12,1,1,1,1,1
13,1,1,1,1,1
14,1,1,1,1,1
14,1,1,1,1,1
14,1,1,1,1,1
14,1,1,1,1,1
15,1,1,1,1,1
15,1,1,1,1,1
15,1,1,1,1,1
15,1,1,1,1,1
15,1,1,1,1,1
15,1,1,1,1,1
15,1,1,1,1,1
15,1,1,1,1,1
15,1,1,1,1,1
15,1,10,1,1,1
15,1,10,1,1,1
15,1,10,1,10,1
15,1,10,1,10,1
15,1,10,1,10,1
15,1,10,1,10,1
15,1,10,1,10,1
15,1,10,1,10,1
15,1,12,1,10,1
15,1,12,1,10,1
15,1,12,1,10,1
16,1,13,1,12,1
16,1,14,1,12,1
16,1,15,1,12,1
17,1,15,1,15,1
17,1,17,1,15,1
17,1,18,1,15,1
18,1,2,1,15,1
19,1,2,1,15,1
2,1,2,1,2,1
2,1,2,1,2,1
2,1,2,1,2,1
2,1,2,1,2,1
2,1,2,1,2,1
2,1,2,1,2,1
2,1,2,1,2,1
2,1,2,1,2,1
