YoE_Professional_Developer,YoE_Hobbyist,YoE_Graduate_Student,YoE_Undergraduate_Student,Other,YoE_students,YoE_nonStudents
0,0.5,0,0.5,0,0,0
0,0.5,0,0.5,0,0,0
1,0,0,0,1,0,1
3,0,0,0,3,0,3
3,0,0,0,5,0,3
1,0,0,0,10,0,1
1,0,0,0,10,0,1
1,0,0,0,1,0,1
1,0,0,0,7,0,1
1,0,0,0,0,0,1
1,0,0,0,30,0,1
1,0,0,0,15,0,1
1,0,0,0,0,0,1
1,0,0,0,2,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,1
10,0,1,0,15,1,10
10,0,1,0,1,1,10
10,0,1,0,6,1,10
10,0,1,0,2,1,10
10,0,1,0,1,1,10
10,0,1,0,4,1,10
10,0,1,0,1,1,10
10,0,1,0,5,1,10
10,0,1,0,3,1,10
10,0,1,0,10,1,10
10,0,1,0,10,1,10
10,0,1,0,3,1,10
10,0,1,0,1,1,10
10,0,1,0,20,1,10
10,0,1,0,10,1,10
10,0,1,0,3,1,10
10,0,1,0,26,1,10
10,0,1,0,0,1,10
10,0,1,0,10,1,10
10,0,1,0,2,1,10
10,0,1,0,3,1,10
10,0,1,0,0,1,10
10,0,1,0,1,1,10
10,0,1,0,4,1,10
10,0,1,0,6,1,10
10,0,1,0,8,1,10
10,0,1,0,8,1,10
10,0,1,0,8,1,10
10,0,1,0,0,1,10
10,0,1,0,12,1,10
10,0,1,0,6,1,10
10,0,1,0,0,1,10
10,0,1,0,0,1,10
10,0,1,0,2,1,10
10,0,1,0,4,1,10
10,0,1,0,3,1,10
10,0,1,0,4,1,10
10,0,1,0,3,1,10
10,0,1,0,15,1,10
10,0,1,0,0,1,10
10,0,1,0.2,0,1,10
10,0,1,0.5,1,1,10
10,0,1,1,1,1,10
10,0,1,1,0,1,10
10,0,1,1,0,1,10
10,0,1,1,0,1,10
10,0,1,1,0,1,10
11,0,1,1,1,1,11
11,1,1,1,1,1,11
11,1,1,1,1,1,11
12,1,1,1,2,1,12
12,1,1,1,2,1,12
12,1,1,1,0,1,12
12,1,1,1,0,1,12
12,1,1,1,0,1,12
12,1,1,1,0,1,12
12,1,1,1,0,1,12
12,1,1,1,1,1,12
12,1,1,1,1,1,12
12,1,1,1,1,1,12
12,1,1,1,1,1,12
12,1,1,1,1,1,12
12,1,1,1,1,1,12
12,1,1,1,1,1,12
12,1,1,1,0,1,12
12,1,1,1,6,1,12
12,1,1,1,1,1,12
12,1,1,1,0,1,12
12,1,1,1,0,1,12
12,1,1,1,2.5,1,12
12,1,1,1,2.5,1,12
13,1,1,1,2.5,1,13
14,1,1,1,2.5,1,14
14,1,1,1,2.5,1,14
14,1,1,1,2.5,1,14
14,1,1,1,2.5,1,14
15,1,1,1,2,1,15
15,1,1,1,0,1,15
15,1,1,1,0,1,15
15,1,1,1,10,1,15
15,1,1,1,6,1,15
15,1,1,1,10,1,15
15,1,1,1,1,1,15
15,1,1,1,5,1,15
15,1,1,1,4,1,15
15,1,10,1,2,10,15
15,1,10,1,1,10,15
15,1,10,1,0,10,15
15,1,10,1,2,10,15
15,1,10,1,1,10,15
15,1,10,1,10,10,15
15,1,10,1,0,10,15
15,1,10,1,1,10,15
15,1,12,1,0,12,15
15,1,12,1,0,12,15
15,1,12,1,0,12,15
16,1,13,1,0,13,16
16,1,14,1,0,14,16
16,1,15,1,1,15,16
17,1,15,1,0,15,17
17,1,17,1,0,17,17
17,1,18,1,4,18,17
18,1,2,1,0,2,18
19,1,2,1,0,2,19
2,1,2,1,0,2,2
2,1,2,1,0,2,2
2,1,2,1,0,2,2
2,1,2,1,0,2,2
2,1,2,1,1,2,2
2,1,2,1,1,2,2
2,1,2,1,1,2,2
2,1,2,1,2,2,2
2,1,2,1,20,2,2
2,1,2,1,0,2,2
2,1,2,1,1,2,2
