Worker Id,User quit ?,Worker Score,Worker Experience,Years Programming,Worker Gender,Worker Age,Worker Country,Prog Language,Learned on,#HITs,#Questions Answered,#Yes,#No's,#IDK,Difficulty Average,Confidence Average,Answer Duration Average,Day of most answers,#Expected Yes,#Expected No's,Optimism(Yes'/Expected Yes's),Pessimism(No'/Expected No's),#True Positives,#True Negatives,#False Positives,#False Negatives,#IDK2,Total,,,
1376AE-9a-6C-7-1-9,Failed Test,0,Graduate_Student,0,Female,24,United States,None,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.5
,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
551Cg7C1A-2-1-4,Quit,-1,Graduate_Student,0,Female,40,USA,I don't know,Other ?,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.5
1252aA-1C9A823,Failed Test,40,Graduate_Student,0,Female,31,United States of America,HTML,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.5
1661gC-6C9C117,Failed Test,40,Graduate_Student,0,Female,22,USA,html?,Other none,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.5
57iG3i7G1-35,Failed Test,-1,Graduate_Student,0,Female,25,INDIA,C,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.5
74Cg9G-2a737,Failed Test,-1,Graduate_Student,0,Male,28,United States,none,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
463ag0E-5E81-8,Failed Test,20,Graduate_Student,0,Female,48,USA,HTML,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1586CI-4I2a27-1,Failed Test,-1,Graduate_Student,0,Female,26,usa,na,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
860aE-6E0G9-1-3,Failed Test,-1,Graduate_Student,0,Female,24,U.S.,English,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
